timestamp,temperature,humidity,occupancy,hvac_kw,refrigeration_kw,water_heater_kw,ev_charger_kw,lighting_sockets_kw,solar_generation_kw,total_consumption_kw
2025-01-01 00:00:00,2.52,90.05,1.0,4.5,0.142,0.106,7.821,0.207,0.0,12.777
2025-01-01 01:00:00,1.07,79.32,1.3,4.5,0.25,0.111,7.248,0.225,0.0,12.335
2025-01-01 02:00:00,2.08,80.06,0.7,4.5,0.1,0.114,6.817,0.206,0.0,11.737
2025-01-01 03:00:00,3.56,88.69,1.7,4.5,0.127,0.092,0.0,0.247,0.0,4.967
2025-01-01 04:00:00,1.43,84.87,0.2,4.441,0.231,0.101,0.0,0.127,0.0,4.9
2025-01-01 05:00:00,2.22,81.97,1.6,4.5,0.1,0.107,0.0,0.184,0.0,4.89
2025-01-01 06:00:00,5.98,88.08,2.5,4.5,0.112,1.893,0.0,0.611,0.0,7.116
2025-01-01 07:00:00,5.96,82.49,2.9,4.5,0.207,1.956,0.0,0.611,0.365,7.273
2025-01-01 08:00:00,5.4,80.26,2.6,4.5,0.1,1.994,0.0,0.554,0.63,7.148
2025-01-01 09:00:00,8.21,82.35,2.6,3.962,0.163,0.084,0.0,0.204,0.903,4.413
2025-01-01 10:00:00,7.91,75.12,1.2,3.319,0.25,0.087,0.0,0.268,0.735,3.924
2025-01-01 11:00:00,8.94,83.6,1.3,3.232,0.1,0.109,0.0,0.153,0.699,3.594
2025-01-01 12:00:00,10.8,70.86,0.9,2.561,0.152,0.099,0.0,0.136,0.222,2.949
2025-01-01 13:00:00,8.07,77.49,1.4,3.51,0.241,0.097,0.0,0.165,0.0,4.014
2025-01-01 14:00:00,8.52,81.17,0.6,2.969,0.1,0.098,0.0,0.195,0.0,3.362
2025-01-01 15:00:00,10.09,67.32,1.0,2.84,0.146,0.095,0.0,0.197,0.0,3.278
2025-01-01 16:00:00,8.92,73.09,1.3,3.184,0.278,0.104,0.0,0.225,0.0,3.791
2025-01-01 17:00:00,10.11,81.47,3.4,3.688,0.1,0.093,0.0,1.47,0.0,5.351
2025-01-01 18:00:00,7.24,82.79,3.2,4.426,0.157,0.105,0.0,1.351,0.0,6.039
2025-01-01 19:00:00,5.28,77.59,2.8,4.5,0.214,1.322,6.863,1.3,0.0,14.198
2025-01-01 20:00:00,8.31,76.33,3.4,4.26,0.1,1.655,7.77,1.48,0.0,15.265
2025-01-01 21:00:00,4.47,86.33,2.7,4.5,0.163,1.669,7.471,1.262,0.0,15.065
2025-01-01 22:00:00,3.71,88.92,3.7,4.5,0.259,0.103,7.359,1.372,0.0,13.593
2025-01-01 23:00:00,0.43,78.42,3.0,4.5,0.1,0.095,7.233,1.259,0.0,13.188
2025-01-02 00:00:00,0.93,79.18,0.4,4.5,0.147,0.081,0.0,0.214,0.0,4.942
2025-01-02 01:00:00,1.42,86.92,0.5,4.5,0.233,0.085,0.0,0.103,0.0,4.921
2025-01-02 02:00:00,-0.65,89.15,1.0,4.5,0.1,0.083,0.0,0.1,0.0,4.783
2025-01-02 03:00:00,1.81,84.3,1.1,4.5,0.152,0.08,0.0,0.141,0.0,4.873
2025-01-02 04:00:00,0.85,88.59,1.8,4.5,0.262,0.109,0.0,0.245,0.0,5.115
2025-01-02 05:00:00,2.11,80.69,0.6,4.5,0.1,0.118,0.0,0.197,0.0,4.915
2025-01-02 06:00:00,2.68,72.43,2.5,4.5,0.165,1.448,0.0,0.593,0.0,6.706
2025-01-02 07:00:00,7.57,79.43,2.1,3.754,0.277,1.521,0.0,0.62,0.311,6.172
2025-01-02 08:00:00,6.06,80.32,2.3,4.361,0.1,2.06,0.0,0.615,0.616,7.135
2025-01-02 09:00:00,5.79,77.07,3.2,4.5,0.141,0.108,0.0,0.262,0.783,5.011
2025-01-02 10:00:00,9.81,71.21,0.5,2.829,0.236,0.096,0.0,0.166,0.81,3.327
2025-01-02 11:00:00,7.79,66.68,1.2,3.665,0.1,0.12,0.0,0.232,0.684,4.117
2025-01-02 12:00:00,10.72,72.23,1.2,2.688,0.131,0.103,0.0,0.222,0.312,3.144
2025-01-02 13:00:00,7.97,78.69,1.0,3.293,0.202,0.107,0.0,0.166,0.0,3.768
2025-01-02 14:00:00,9.09,80.28,1.2,3.06,0.1,0.106,0.0,0.227,0.0,3.493
2025-01-02 15:00:00,11.21,80.14,0.5,2.41,0.168,0.089,0.0,0.133,0.0,2.801
2025-01-02 16:00:00,11.52,70.72,1.7,2.825,0.252,0.1,0.0,0.212,0.0,3.388
2025-01-02 17:00:00,9.87,69.99,3.8,4.011,0.1,0.089,0.0,1.423,0.0,5.623
2025-01-02 18:00:00,8.41,79.48,3.0,4.139,0.154,0.1,0.0,1.266,0.0,5.66
2025-01-02 19:00:00,6.92,81.62,4.0,4.5,0.264,1.218,0.0,1.442,0.0,7.424
2025-01-02 20:00:00,3.86,82.0,2.8,4.5,0.1,1.429,0.0,1.285,0.0,7.314
2025-01-02 21:00:00,3.71,71.48,3.2,4.5,0.147,1.423,0.0,1.252,0.0,7.322
2025-01-02 22:00:00,2.89,78.67,3.6,4.5,0.242,0.092,0.0,1.381,0.0,6.215
2025-01-02 23:00:00,4.13,84.09,2.8,4.5,0.1,0.083,0.0,1.361,0.0,6.045
2025-01-03 00:00:00,2.24,87.63,0.4,4.445,0.167,0.111,7.508,0.122,0.0,12.353
2025-01-03 01:00:00,-1.42,89.63,0.4,4.5,0.207,0.097,7.317,0.212,0.0,12.333
2025-01-03 02:00:00,1.54,86.72,1.8,4.5,0.1,0.113,7.684,0.2,0.0,12.596
2025-01-03 03:00:00,0.65,87.45,0.8,4.5,0.164,0.113,0.0,0.233,0.0,5.01
2025-01-03 04:00:00,0.71,85.62,0.9,4.5,0.203,0.089,0.0,0.142,0.0,4.933
2025-01-03 05:00:00,3.44,87.67,0.6,4.13,0.1,0.097,0.0,0.167,0.0,4.493
2025-01-03 06:00:00,5.11,84.56,2.9,4.5,0.159,1.959,0.0,0.741,0.0,7.359
2025-01-03 07:00:00,6.16,81.88,2.2,4.266,0.251,1.8,0.0,0.566,0.321,6.883
2025-01-03 08:00:00,4.8,78.66,2.3,4.5,0.1,2.056,0.0,0.616,0.629,7.272
2025-01-03 09:00:00,6.89,78.85,2.6,4.154,0.16,0.103,0.0,0.258,0.516,4.676
2025-01-03 10:00:00,9.06,79.42,0.6,2.902,0.213,0.105,0.0,0.1,0.591,3.32
2025-01-03 11:00:00,11.06,77.09,0.9,2.364,0.1,0.111,0.0,0.2,0.7,2.776
2025-01-03 12:00:00,9.67,76.71,1.6,3.025,0.151,0.085,0.0,0.135,0.361,3.396
2025-01-03 13:00:00,10.61,80.92,1.2,2.708,0.219,0.103,0.0,0.217,0.0,3.247
2025-01-03 14:00:00,9.4,75.33,1.1,2.981,0.1,0.083,0.0,0.187,0.0,3.351
2025-01-03 15:00:00,9.09,70.96,1.1,3.069,0.127,0.09,0.0,0.127,0.0,3.413
2025-01-03 16:00:00,11.61,79.22,0.8,2.343,0.242,0.089,0.0,0.116,0.0,2.789
2025-01-03 17:00:00,11.63,68.93,3.8,3.172,0.1,0.103,0.0,1.404,0.0,4.779
2025-01-03 18:00:00,8.45,71.59,2.7,3.852,0.125,0.114,0.0,1.352,0.0,5.443
2025-01-03 19:00:00,8.86,80.13,3.1,3.91,0.236,1.28,7.54,1.375,0.0,14.341
2025-01-03 20:00:00,6.6,82.58,3.0,4.5,0.1,1.661,6.906,1.305,0.0,14.472
2025-01-03 21:00:00,3.8,75.33,3.4,4.5,0.133,1.286,6.797,1.37,0.0,14.087
2025-01-03 22:00:00,4.1,81.09,3.4,4.5,0.251,0.088,6.728,1.381,0.0,12.947
2025-01-03 23:00:00,4.83,81.21,3.0,4.5,0.1,0.117,6.522,1.251,0.0,12.49
2025-01-04 00:00:00,1.66,82.76,1.9,4.5,0.165,0.08,0.0,0.173,0.0,4.918
2025-01-04 01:00:00,3.56,90.51,1.9,4.5,0.244,0.088,0.0,0.25,0.0,5.082
2025-01-04 02:00:00,-2.89,89.53,0.9,4.5,0.1,0.089,0.0,0.147,0.0,4.835
2025-01-04 03:00:00,2.44,85.7,1.2,4.5,0.129,0.091,0.0,0.257,0.0,4.978
2025-01-04 04:00:00,1.84,82.47,1.6,4.5,0.25,0.095,0.0,0.129,0.0,4.974
2025-01-04 05:00:00,2.06,77.49,1.6,4.5,0.1,0.084,0.0,0.152,0.0,4.836
2025-01-04 06:00:00,3.68,90.1,2.8,4.5,0.119,1.777,0.0,0.696,0.0,7.093
2025-01-04 07:00:00,1.76,84.51,3.6,4.5,0.217,1.728,0.0,0.674,0.271,7.118
2025-01-04 08:00:00,5.71,76.47,3.3,4.5,0.1,1.89,0.0,0.658,0.804,7.148
2025-01-04 09:00:00,7.87,82.05,3.2,4.353,0.123,0.115,0.0,0.279,0.64,4.869
2025-01-04 10:00:00,10.76,76.65,1.3,2.655,0.23,0.092,0.0,0.247,0.842,3.224
2025-01-04 11:00:00,8.8,74.32,1.8,3.437,0.1,0.102,0.0,0.234,0.426,3.873
2025-01-04 12:00:00,9.16,76.98,0.7,2.846,0.133,0.095,0.0,0.187,0.195,3.261
2025-01-04 13:00:00,10.12,70.5,1.7,2.968,0.264,0.082,0.0,0.242,0.0,3.556
2025-01-04 14:00:00,12.41,72.28,1.8,2.25,0.1,0.113,0.0,0.225,0.0,2.688
2025-01-04 15:00:00,11.36,74.81,1.9,2.775,0.136,0.105,0.0,0.261,0.0,3.277
2025-01-04 16:00:00,9.58,72.31,1.2,2.993,0.252,0.08,0.0,0.328,0.0,3.654
2025-01-04 17:00:00,10.35,79.1,3.9,3.754,0.1,0.09,0.0,1.448,0.0,5.392
2025-01-04 18:00:00,8.69,86.35,3.4,4.112,0.162,0.092,0.0,1.298,0.0,5.665
2025-01-04 19:00:00,8.79,74.68,3.5,4.011,0.243,1.687,0.0,1.408,0.0,7.349
2025-01-04 20:00:00,4.99,71.67,4.0,4.5,0.1,1.656,0.0,1.433,0.0,7.689
2025-01-04 21:00:00,4.25,71.54,4.0,4.5,0.165,1.438,0.0,1.457,0.0,7.56
2025-01-04 22:00:00,2.95,82.25,3.8,4.5,0.212,0.086,0.0,1.43,0.0,6.228
2025-01-04 23:00:00,0.31,80.93,3.5,4.5,0.1,0.095,0.0,1.327,0.0,6.022
2025-01-05 00:00:00,2.14,86.24,1.9,4.5,0.139,0.112,6.737,0.188,0.0,11.676
2025-01-05 01:00:00,1.59,86.46,2.2,4.5,0.26,0.098,7.451,0.1,0.0,12.408
2025-01-05 02:00:00,1.03,77.98,2.0,4.5,0.1,0.085,7.421,0.206,0.0,12.312
2025-01-05 03:00:00,0.84,76.72,2.9,4.5,0.135,0.082,0.0,0.265,0.0,4.981
2025-01-05 04:00:00,-0.43,86.68,1.5,4.5,0.257,0.093,0.0,0.196,0.0,5.047
2025-01-05 05:00:00,1.86,84.92,1.9,4.5,0.1,0.086,0.0,0.184,0.0,4.87
2025-01-05 06:00:00,3.01,80.87,3.9,4.5,0.192,1.976,0.0,0.732,0.0,7.401
2025-01-05 07:00:00,3.53,73.27,3.9,4.5,0.219,1.641,0.0,0.664,0.235,7.024
2025-01-05 08:00:00,5.78,82.36,2.5,4.5,0.1,2.072,0.0,0.549,0.462,7.22
2025-01-05 09:00:00,7.93,84.81,3.3,4.101,0.172,0.105,0.0,0.275,0.853,4.653
2025-01-05 10:00:00,11.35,78.39,2.4,2.918,0.211,0.096,0.0,0.251,0.499,3.476
